,text
700,"Determine the whether the tweet enclosed in square brackets is sarcastic or non-sarcastic,
            and return the answer as the corresponding label ""1"" for sarcastic or ""0"" for non-sarcastic.

            [Bercow doesn't hold back, does he?] ="
707,"Determine the whether the tweet enclosed in square brackets is sarcastic or non-sarcastic,
            and return the answer as the corresponding label ""1"" for sarcastic or ""0"" for non-sarcastic.

            [There’s nothing wrong with eating a whole Camembert yourself, right?] ="
715,"Determine the whether the tweet enclosed in square brackets is sarcastic or non-sarcastic,
            and return the answer as the corresponding label ""1"" for sarcastic or ""0"" for non-sarcastic.

            [If Liverpool play heavy metal football, on this performance United are playing John Lewis Xmas cover version football.] ="
716,"Determine the whether the tweet enclosed in square brackets is sarcastic or non-sarcastic,
            and return the answer as the corresponding label ""1"" for sarcastic or ""0"" for non-sarcastic.

            [I was thinking perhaps we may have been oversaturated with Keanu, but I was wrong. Shame on me.] ="
718,"Determine the whether the tweet enclosed in square brackets is sarcastic or non-sarcastic,
            and return the answer as the corresponding label ""1"" for sarcastic or ""0"" for non-sarcastic.

            [That isn’t one of your shots is it mate!?] ="
720,"Determine the whether the tweet enclosed in square brackets is sarcastic or non-sarcastic,
            and return the answer as the corresponding label ""1"" for sarcastic or ""0"" for non-sarcastic.

            [Johnston picks the wrong option again] ="
722,"Determine the whether the tweet enclosed in square brackets is sarcastic or non-sarcastic,
            and return the answer as the corresponding label ""1"" for sarcastic or ""0"" for non-sarcastic.

            [Just been refused some headache tables because apparently I look younger than 16. Sixteen. Six. Teen.] ="
726,"Determine the whether the tweet enclosed in square brackets is sarcastic or non-sarcastic,
            and return the answer as the corresponding label ""1"" for sarcastic or ""0"" for non-sarcastic.

            [Name something that blew up more than QR codes during COVID jeesh everywhere] ="
729,"Determine the whether the tweet enclosed in square brackets is sarcastic or non-sarcastic,
            and return the answer as the corresponding label ""1"" for sarcastic or ""0"" for non-sarcastic.

            [Today, I lost a follower because I said I was unwell.

Dontcha love Twitter.] ="
731,"Determine the whether the tweet enclosed in square brackets is sarcastic or non-sarcastic,
            and return the answer as the corresponding label ""1"" for sarcastic or ""0"" for non-sarcastic.

            [Just get ahead of Mclaren and cement that third place tomorrow lads 💪🏻🏎🏎] ="
732,"Determine the whether the tweet enclosed in square brackets is sarcastic or non-sarcastic,
            and return the answer as the corresponding label ""1"" for sarcastic or ""0"" for non-sarcastic.

            [It’s just getting a bit awkward innit….] ="
734,"Determine the whether the tweet enclosed in square brackets is sarcastic or non-sarcastic,
            and return the answer as the corresponding label ""1"" for sarcastic or ""0"" for non-sarcastic.

            [Absolutely shocking from grealish. Take him off] ="
748,"Determine the whether the tweet enclosed in square brackets is sarcastic or non-sarcastic,
            and return the answer as the corresponding label ""1"" for sarcastic or ""0"" for non-sarcastic.

            [How are you not even going to have a look and review that!? Absolute joke] ="
753,"Determine the whether the tweet enclosed in square brackets is sarcastic or non-sarcastic,
            and return the answer as the corresponding label ""1"" for sarcastic or ""0"" for non-sarcastic.

            [You don't what the Europa Conference League is well your probably not going to like it. 
You team didn't do their best to avoid it did they really 🤣🤣] ="
763,"Determine the whether the tweet enclosed in square brackets is sarcastic or non-sarcastic,
            and return the answer as the corresponding label ""1"" for sarcastic or ""0"" for non-sarcastic.

            [That flat had been completely trashed by Theresa May.] ="
785,"Determine the whether the tweet enclosed in square brackets is sarcastic or non-sarcastic,
            and return the answer as the corresponding label ""1"" for sarcastic or ""0"" for non-sarcastic.

            [Because of lying MSM UNIONS AND ACTIVIST NURSES DOCTORS 🤬🦠😡] ="
787,"Determine the whether the tweet enclosed in square brackets is sarcastic or non-sarcastic,
            and return the answer as the corresponding label ""1"" for sarcastic or ""0"" for non-sarcastic.

            [Is that the £350m a week the Brexit leavers promised the NHS?
Asking for a country.] ="
790,"Determine the whether the tweet enclosed in square brackets is sarcastic or non-sarcastic,
            and return the answer as the corresponding label ""1"" for sarcastic or ""0"" for non-sarcastic.

            [What I love about this iconic scene is that Geri proved that’s it’s possible to overact, whilst being unable to actually act. That’s pretty fascinating.] ="
791,"Determine the whether the tweet enclosed in square brackets is sarcastic or non-sarcastic,
            and return the answer as the corresponding label ""1"" for sarcastic or ""0"" for non-sarcastic.

            [New years resolution this year is to pick up some more self distinctive habits.] ="
795,"Determine the whether the tweet enclosed in square brackets is sarcastic or non-sarcastic,
            and return the answer as the corresponding label ""1"" for sarcastic or ""0"" for non-sarcastic.

            [Seems like a good time as any to try out this The Matrix thingy] ="
796,"Determine the whether the tweet enclosed in square brackets is sarcastic or non-sarcastic,
            and return the answer as the corresponding label ""1"" for sarcastic or ""0"" for non-sarcastic.

            [Big enough tae calm him a fenian, big enough to get a belt in the jaw!] ="
810,"Determine the whether the tweet enclosed in square brackets is sarcastic or non-sarcastic,
            and return the answer as the corresponding label ""1"" for sarcastic or ""0"" for non-sarcastic.

            [That away end was almost as bad as Rashford] ="
821,"Determine the whether the tweet enclosed in square brackets is sarcastic or non-sarcastic,
            and return the answer as the corresponding label ""1"" for sarcastic or ""0"" for non-sarcastic.

            [Maybe should have thought of that last year lads] ="
823,"Determine the whether the tweet enclosed in square brackets is sarcastic or non-sarcastic,
            and return the answer as the corresponding label ""1"" for sarcastic or ""0"" for non-sarcastic.

            [This doesn’t even make sense. Stop digging..] ="
825,"Determine the whether the tweet enclosed in square brackets is sarcastic or non-sarcastic,
            and return the answer as the corresponding label ""1"" for sarcastic or ""0"" for non-sarcastic.

            [Ugh! Can’t believe my back has gone at the start of my annual leave 😩 at this point I just need putting down] ="
826,"Determine the whether the tweet enclosed in square brackets is sarcastic or non-sarcastic,
            and return the answer as the corresponding label ""1"" for sarcastic or ""0"" for non-sarcastic.

            [""Please remember to take your belongings with you""

Well, I might, if you ever let me off this infernal train...] ="
849,"Determine the whether the tweet enclosed in square brackets is sarcastic or non-sarcastic,
            and return the answer as the corresponding label ""1"" for sarcastic or ""0"" for non-sarcastic.

            [I’ll wait to start Christmas shopping then. Just in case, you know.] ="
850,"Determine the whether the tweet enclosed in square brackets is sarcastic or non-sarcastic,
            and return the answer as the corresponding label ""1"" for sarcastic or ""0"" for non-sarcastic.

            [Some girls at Michelangelo’s talking about how they want a frat baby i love Madison] ="
853,"Determine the whether the tweet enclosed in square brackets is sarcastic or non-sarcastic,
            and return the answer as the corresponding label ""1"" for sarcastic or ""0"" for non-sarcastic.

            [Funny. I’ve wanted him to leave since about three months after his debut.] ="
854,"Determine the whether the tweet enclosed in square brackets is sarcastic or non-sarcastic,
            and return the answer as the corresponding label ""1"" for sarcastic or ""0"" for non-sarcastic.

            [And when he leaves, don't bring him to United 👍 
Don't forget to have an auction for Pogba too] ="
878,"Determine the whether the tweet enclosed in square brackets is sarcastic or non-sarcastic,
            and return the answer as the corresponding label ""1"" for sarcastic or ""0"" for non-sarcastic.

            [I will be following the new rules event though the rule makers have never done the same despite their promises.] ="
881,"Determine the whether the tweet enclosed in square brackets is sarcastic or non-sarcastic,
            and return the answer as the corresponding label ""1"" for sarcastic or ""0"" for non-sarcastic.

            [I’m so glad the entire world got to watch the Vikings play last night. 

That’s an average game: goes well but ends up blowing it, getting into an unnecessarily tense situation.] ="
885,"Determine the whether the tweet enclosed in square brackets is sarcastic or non-sarcastic,
            and return the answer as the corresponding label ""1"" for sarcastic or ""0"" for non-sarcastic.

            [“You’re English right?”
“Yeah, big time”] ="
893,"Determine the whether the tweet enclosed in square brackets is sarcastic or non-sarcastic,
            and return the answer as the corresponding label ""1"" for sarcastic or ""0"" for non-sarcastic.

            [Right, pack it in. I was smug with my Bernardo differential.] ="
898,"Determine the whether the tweet enclosed in square brackets is sarcastic or non-sarcastic,
            and return the answer as the corresponding label ""1"" for sarcastic or ""0"" for non-sarcastic.

            [I would say: I think it's funny that somebody decides to resign because they went to a party that they made out never happened, when it actually did! Resigning does not make the situation acceptable!] ="
908,"Determine the whether the tweet enclosed in square brackets is sarcastic or non-sarcastic,
            and return the answer as the corresponding label ""1"" for sarcastic or ""0"" for non-sarcastic.

            [BBC reporting on daily covid cases now how convenient🤣] ="
918,"Determine the whether the tweet enclosed in square brackets is sarcastic or non-sarcastic,
            and return the answer as the corresponding label ""1"" for sarcastic or ""0"" for non-sarcastic.

            [nevermind i can’t put them in] ="
931,"Determine the whether the tweet enclosed in square brackets is sarcastic or non-sarcastic,
            and return the answer as the corresponding label ""1"" for sarcastic or ""0"" for non-sarcastic.

            [Tell people that most likely it will end up being burnt in an existing or planned incinerator … 🔥] ="
937,"Determine the whether the tweet enclosed in square brackets is sarcastic or non-sarcastic,
            and return the answer as the corresponding label ""1"" for sarcastic or ""0"" for non-sarcastic.

            [Research suggest a major wave of a less serious disease in January, quick lockdown now to keep up the pretence that this is about public health not cash] ="
939,"Determine the whether the tweet enclosed in square brackets is sarcastic or non-sarcastic,
            and return the answer as the corresponding label ""1"" for sarcastic or ""0"" for non-sarcastic.

            [Group of lads in a pub in Sheff just shouted SIUUU. Wish that asteroid would hit] ="
961,"Determine the whether the tweet enclosed in square brackets is sarcastic or non-sarcastic,
            and return the answer as the corresponding label ""1"" for sarcastic or ""0"" for non-sarcastic.

            [Aha, my thoughts exactly. We are on which day now of the “vacation”?] ="
967,"Determine the whether the tweet enclosed in square brackets is sarcastic or non-sarcastic,
            and return the answer as the corresponding label ""1"" for sarcastic or ""0"" for non-sarcastic.

            [it doesn’t need a consultation. Just ban it 🙃] ="
970,"Determine the whether the tweet enclosed in square brackets is sarcastic or non-sarcastic,
            and return the answer as the corresponding label ""1"" for sarcastic or ""0"" for non-sarcastic.

            [This is the weather for a leather shoot. 😅] ="
973,"Determine the whether the tweet enclosed in square brackets is sarcastic or non-sarcastic,
            and return the answer as the corresponding label ""1"" for sarcastic or ""0"" for non-sarcastic.

            [Darrell covers all seasons………. Mostly with masking tape. 😂😂] ="
976,"Determine the whether the tweet enclosed in square brackets is sarcastic or non-sarcastic,
            and return the answer as the corresponding label ""1"" for sarcastic or ""0"" for non-sarcastic.

            [SUPER COOPER WEARS THE GARIBALDI] ="
1000,"Determine the whether the tweet enclosed in square brackets is sarcastic or non-sarcastic,
            and return the answer as the corresponding label ""1"" for sarcastic or ""0"" for non-sarcastic.

            [skype calls and cash meets available today in MCR feeling so hungover and extra mean hahaha DM if you to be violated📥😈

findom paypig finsub humanATM cashcow moneyslave cashslave femdom findomme footfetish footworship footslave skype cashapp cashmeets] ="
1005,"Determine the whether the tweet enclosed in square brackets is sarcastic or non-sarcastic,
            and return the answer as the corresponding label ""1"" for sarcastic or ""0"" for non-sarcastic.

            [You are looking wonderful for your age.] ="
1008,"Determine the whether the tweet enclosed in square brackets is sarcastic or non-sarcastic,
            and return the answer as the corresponding label ""1"" for sarcastic or ""0"" for non-sarcastic.

            [I hate wearing a face mask on public. I can't believe that the government have 'reintroduced having to wear them] ="
1012,"Determine the whether the tweet enclosed in square brackets is sarcastic or non-sarcastic,
            and return the answer as the corresponding label ""1"" for sarcastic or ""0"" for non-sarcastic.

            [I went for the most communist possible speech in the Android declaration in D:BH] ="
1014,"Determine the whether the tweet enclosed in square brackets is sarcastic or non-sarcastic,
            and return the answer as the corresponding label ""1"" for sarcastic or ""0"" for non-sarcastic.

            [What people?
How do you storm a Megadeth song?] ="
1030,"Determine the whether the tweet enclosed in square brackets is sarcastic or non-sarcastic,
            and return the answer as the corresponding label ""1"" for sarcastic or ""0"" for non-sarcastic.

            [Ok, we’ll what do I know eh? 🤣] ="
1055,"Determine the whether the tweet enclosed in square brackets is sarcastic or non-sarcastic,
            and return the answer as the corresponding label ""1"" for sarcastic or ""0"" for non-sarcastic.

            [Hahahaha, get the sleeves rolled up get all the extra poison into your body 🤣] ="
1062,"Determine the whether the tweet enclosed in square brackets is sarcastic or non-sarcastic,
            and return the answer as the corresponding label ""1"" for sarcastic or ""0"" for non-sarcastic.

            [McTominay the best player on the park again. Interesting as Twitter would have you believe he should be playing league two.] ="
1063,"Determine the whether the tweet enclosed in square brackets is sarcastic or non-sarcastic,
            and return the answer as the corresponding label ""1"" for sarcastic or ""0"" for non-sarcastic.

            [It's a good job we dropped Beese isn't it 🤷🏻‍♀️] ="
1066,"Determine the whether the tweet enclosed in square brackets is sarcastic or non-sarcastic,
            and return the answer as the corresponding label ""1"" for sarcastic or ""0"" for non-sarcastic.

            [How convenient, just when Bobby’s back] ="
1071,"Determine the whether the tweet enclosed in square brackets is sarcastic or non-sarcastic,
            and return the answer as the corresponding label ""1"" for sarcastic or ""0"" for non-sarcastic.

            [Gooch must have scored a few on ""96] ="
1081,"Determine the whether the tweet enclosed in square brackets is sarcastic or non-sarcastic,
            and return the answer as the corresponding label ""1"" for sarcastic or ""0"" for non-sarcastic.

            [Hello John, sorry, I am in Beijing on the agreed annual leave and have only just received your text. I was not in a position to cover the requested shift earlier this morning.] ="
1095,"Determine the whether the tweet enclosed in square brackets is sarcastic or non-sarcastic,
            and return the answer as the corresponding label ""1"" for sarcastic or ""0"" for non-sarcastic.

            [I nominate this numb nut to have his citizenship revoked. You??] ="
1098,"Determine the whether the tweet enclosed in square brackets is sarcastic or non-sarcastic,
            and return the answer as the corresponding label ""1"" for sarcastic or ""0"" for non-sarcastic.

            [I see itv are starting a new crime drama next week. It doesn't look very original.] ="
1102,"Determine the whether the tweet enclosed in square brackets is sarcastic or non-sarcastic,
            and return the answer as the corresponding label ""1"" for sarcastic or ""0"" for non-sarcastic.

            [Nice collective Boo for Boris during our set last night 👌🏼] ="
1104,"Determine the whether the tweet enclosed in square brackets is sarcastic or non-sarcastic,
            and return the answer as the corresponding label ""1"" for sarcastic or ""0"" for non-sarcastic.

            [I just know the government is gonna lock us all down in spite because they can’t have their Xmas party] ="
1107,"Determine the whether the tweet enclosed in square brackets is sarcastic or non-sarcastic,
            and return the answer as the corresponding label ""1"" for sarcastic or ""0"" for non-sarcastic.

            [Big shout out to everyone who voted for the Tories last election.] ="
1115,"Determine the whether the tweet enclosed in square brackets is sarcastic or non-sarcastic,
            and return the answer as the corresponding label ""1"" for sarcastic or ""0"" for non-sarcastic.

            [Here mate, take a pic of me Cus ronaldo scored and make sure I have my pint of coors in my hand. Nonce] ="
1116,"Determine the whether the tweet enclosed in square brackets is sarcastic or non-sarcastic,
            and return the answer as the corresponding label ""1"" for sarcastic or ""0"" for non-sarcastic.

            [The state of the LOTO, so many open goals missed. But hey let's remove all the democratic socialists from the Labour Party instead.] ="
1123,"Determine the whether the tweet enclosed in square brackets is sarcastic or non-sarcastic,
            and return the answer as the corresponding label ""1"" for sarcastic or ""0"" for non-sarcastic.

            [Why do you think vaccines are harmless but you are a massive coke head at the same time?] ="
1124,"Determine the whether the tweet enclosed in square brackets is sarcastic or non-sarcastic,
            and return the answer as the corresponding label ""1"" for sarcastic or ""0"" for non-sarcastic.

            [i go to my mums at every opportunity what was the absolute point in me moving out] ="
1126,"Determine the whether the tweet enclosed in square brackets is sarcastic or non-sarcastic,
            and return the answer as the corresponding label ""1"" for sarcastic or ""0"" for non-sarcastic.

            [MoM De Gea at bottom of the league Norwich] ="
1154,"Determine the whether the tweet enclosed in square brackets is sarcastic or non-sarcastic,
            and return the answer as the corresponding label ""1"" for sarcastic or ""0"" for non-sarcastic.

            [Well this is awesome news to wake up to!] ="
1160,"Determine the whether the tweet enclosed in square brackets is sarcastic or non-sarcastic,
            and return the answer as the corresponding label ""1"" for sarcastic or ""0"" for non-sarcastic.

            [FRIYAY except that I’m working until 10pm 👍🏻] ="
1162,"Determine the whether the tweet enclosed in square brackets is sarcastic or non-sarcastic,
            and return the answer as the corresponding label ""1"" for sarcastic or ""0"" for non-sarcastic.

            [Leak the Xmas banger from Sark] ="
1173,"Determine the whether the tweet enclosed in square brackets is sarcastic or non-sarcastic,
            and return the answer as the corresponding label ""1"" for sarcastic or ""0"" for non-sarcastic.

            [Loving the fact Carlton Cole knows longelos mum 🤣🤣🤣] ="
1189,"Determine the whether the tweet enclosed in square brackets is sarcastic or non-sarcastic,
            and return the answer as the corresponding label ""1"" for sarcastic or ""0"" for non-sarcastic.

            [Went to McDonalds today, unfortunately there was a long wait, which meant that my food was cold and not like the photo in the restaurant] ="
1192,"Determine the whether the tweet enclosed in square brackets is sarcastic or non-sarcastic,
            and return the answer as the corresponding label ""1"" for sarcastic or ""0"" for non-sarcastic.

            [Oh dear.  Didn't see this coming.... but we did.] ="
1203,"Determine the whether the tweet enclosed in square brackets is sarcastic or non-sarcastic,
            and return the answer as the corresponding label ""1"" for sarcastic or ""0"" for non-sarcastic.

            [I went to a terrible restaurant today. The food was cold and hard. The flavor was awful to the point where I needed a drink after each bite.] ="
1207,"Determine the whether the tweet enclosed in square brackets is sarcastic or non-sarcastic,
            and return the answer as the corresponding label ""1"" for sarcastic or ""0"" for non-sarcastic.

            [Ring Spurs Managers they will fill you in Brendan lad👍🏻] ="
1212,"Determine the whether the tweet enclosed in square brackets is sarcastic or non-sarcastic,
            and return the answer as the corresponding label ""1"" for sarcastic or ""0"" for non-sarcastic.

            [Having Five Minutes Peace in the car before chaos ensues. I'm taking FIVE seven year olds bowling after school. On my own. What could possibly go wrong?] ="
1219,"Determine the whether the tweet enclosed in square brackets is sarcastic or non-sarcastic,
            and return the answer as the corresponding label ""1"" for sarcastic or ""0"" for non-sarcastic.

            [7:41am and there's a young lad getting off a train with a pint can of Stella and a super king. Those were the days 😂] ="
1227,"Determine the whether the tweet enclosed in square brackets is sarcastic or non-sarcastic,
            and return the answer as the corresponding label ""1"" for sarcastic or ""0"" for non-sarcastic.

            [5 penalty 1234 places 15 points gifted by Ref 🖐VAR Corrupt SKY League] ="
1232,"Determine the whether the tweet enclosed in square brackets is sarcastic or non-sarcastic,
            and return the answer as the corresponding label ""1"" for sarcastic or ""0"" for non-sarcastic.

            [Not ghana saying you need to be fully vaccinated to enter 🥴😂] ="
1238,"Determine the whether the tweet enclosed in square brackets is sarcastic or non-sarcastic,
            and return the answer as the corresponding label ""1"" for sarcastic or ""0"" for non-sarcastic.

            [""daaaad, tell bobby to quick looking at me"".] ="
1241,"Determine the whether the tweet enclosed in square brackets is sarcastic or non-sarcastic,
            and return the answer as the corresponding label ""1"" for sarcastic or ""0"" for non-sarcastic.

            [I would say to enable Man United to have won this game they would have needed to play better and take more shots on the Chelsea goal.] ="
1251,"Determine the whether the tweet enclosed in square brackets is sarcastic or non-sarcastic,
            and return the answer as the corresponding label ""1"" for sarcastic or ""0"" for non-sarcastic.

            [Otters... are Rotters!] ="
1254,"Determine the whether the tweet enclosed in square brackets is sarcastic or non-sarcastic,
            and return the answer as the corresponding label ""1"" for sarcastic or ""0"" for non-sarcastic.

            [Pogba FC want him to stay still 🤣] ="
1272,"Determine the whether the tweet enclosed in square brackets is sarcastic or non-sarcastic,
            and return the answer as the corresponding label ""1"" for sarcastic or ""0"" for non-sarcastic.

            [So true. Shocking yet not surprising 😡] ="
1298,"Determine the whether the tweet enclosed in square brackets is sarcastic or non-sarcastic,
            and return the answer as the corresponding label ""1"" for sarcastic or ""0"" for non-sarcastic.

            [So looking forward to our training event today] ="
1299,"Determine the whether the tweet enclosed in square brackets is sarcastic or non-sarcastic,
            and return the answer as the corresponding label ""1"" for sarcastic or ""0"" for non-sarcastic.

            [Haha but it’s all coming to an end? Justice will prevail,of that I’m sure? Plus every dog, gets their day haha 😉] ="
1300,"Determine the whether the tweet enclosed in square brackets is sarcastic or non-sarcastic,
            and return the answer as the corresponding label ""1"" for sarcastic or ""0"" for non-sarcastic.

            [🙈🙈nitey nite twitter.
I’m done now with all the bad news.
Have a good evening all x] ="
1301,"Determine the whether the tweet enclosed in square brackets is sarcastic or non-sarcastic,
            and return the answer as the corresponding label ""1"" for sarcastic or ""0"" for non-sarcastic.

            [Neil you need to stop putting nonsense like this out what medical qualifications have you got why all know that these vaccines reduce deaths by a large margin] ="
1302,"Determine the whether the tweet enclosed in square brackets is sarcastic or non-sarcastic,
            and return the answer as the corresponding label ""1"" for sarcastic or ""0"" for non-sarcastic.

            [All I’m asking is for Glasgow uni law to stop giving formatives and practices which are not related to how the exam is structured at all 😀😀] ="
1304,"Determine the whether the tweet enclosed in square brackets is sarcastic or non-sarcastic,
            and return the answer as the corresponding label ""1"" for sarcastic or ""0"" for non-sarcastic.

            [Ma'am this is a bnb why are you decorating this man's Christmas tree with his child] ="
1309,"Determine the whether the tweet enclosed in square brackets is sarcastic or non-sarcastic,
            and return the answer as the corresponding label ""1"" for sarcastic or ""0"" for non-sarcastic.

            [Got back from the shop only to realise the milk I just bought is already out of date :(] ="
1318,"Determine the whether the tweet enclosed in square brackets is sarcastic or non-sarcastic,
            and return the answer as the corresponding label ""1"" for sarcastic or ""0"" for non-sarcastic.

            [Tell me something I don't know!] ="
1321,"Determine the whether the tweet enclosed in square brackets is sarcastic or non-sarcastic,
            and return the answer as the corresponding label ""1"" for sarcastic or ""0"" for non-sarcastic.

            [This is the next Tory of honour and integrity who is lining herself up to succeed Johnson.] ="
1323,"Determine the whether the tweet enclosed in square brackets is sarcastic or non-sarcastic,
            and return the answer as the corresponding label ""1"" for sarcastic or ""0"" for non-sarcastic.

            [Sorry matey you are totally out of your depth and display no understanding whatsoever, stick to tiddlywinks!] ="
1325,"Determine the whether the tweet enclosed in square brackets is sarcastic or non-sarcastic,
            and return the answer as the corresponding label ""1"" for sarcastic or ""0"" for non-sarcastic.

            [Smashing records and recently won a race by 38 seconds.

Does anyone genuinely think this is fair?] ="
1329,"Determine the whether the tweet enclosed in square brackets is sarcastic or non-sarcastic,
            and return the answer as the corresponding label ""1"" for sarcastic or ""0"" for non-sarcastic.

            [This guy put the clown in off and will be the one to get him sacked] ="
1333,"Determine the whether the tweet enclosed in square brackets is sarcastic or non-sarcastic,
            and return the answer as the corresponding label ""1"" for sarcastic or ""0"" for non-sarcastic.

            [How many jabs do you want us to have? 10? 20?] ="
1349,"Determine the whether the tweet enclosed in square brackets is sarcastic or non-sarcastic,
            and return the answer as the corresponding label ""1"" for sarcastic or ""0"" for non-sarcastic.

            [How can u be a footballer and STILL look like a full on junkie] ="
1360,"Determine the whether the tweet enclosed in square brackets is sarcastic or non-sarcastic,
            and return the answer as the corresponding label ""1"" for sarcastic or ""0"" for non-sarcastic.

            [Birmingham city will definitely not be getting promoted this season.] ="
1365,"Determine the whether the tweet enclosed in square brackets is sarcastic or non-sarcastic,
            and return the answer as the corresponding label ""1"" for sarcastic or ""0"" for non-sarcastic.

            [This bad weather just will not let up.  All my possessions are ruined and I have to move house.] ="
1366,"Determine the whether the tweet enclosed in square brackets is sarcastic or non-sarcastic,
            and return the answer as the corresponding label ""1"" for sarcastic or ""0"" for non-sarcastic.

            [My language matching our performance.
One more outburst and I'm have an early bath] ="
1370,"Determine the whether the tweet enclosed in square brackets is sarcastic or non-sarcastic,
            and return the answer as the corresponding label ""1"" for sarcastic or ""0"" for non-sarcastic.

            [Yes, I am waiting for the bus, thank you.] ="
1382,"Determine the whether the tweet enclosed in square brackets is sarcastic or non-sarcastic,
            and return the answer as the corresponding label ""1"" for sarcastic or ""0"" for non-sarcastic.

            [He bottled throwing the headband on the floor again 😂] ="
1386,"Determine the whether the tweet enclosed in square brackets is sarcastic or non-sarcastic,
            and return the answer as the corresponding label ""1"" for sarcastic or ""0"" for non-sarcastic.

            [About time that Number 10 cancelled their Christmas Party this year after last year's frivolities when in lockdown.] ="
1395,"Determine the whether the tweet enclosed in square brackets is sarcastic or non-sarcastic,
            and return the answer as the corresponding label ""1"" for sarcastic or ""0"" for non-sarcastic.

            [How can we possibly be considering vaccine mandates?  Are those who will be enforcing, just following orders? ] ="
